OBJECTID,BLOCK GEO ID,Median morning temperature,Median afternoon temperature,Median evening temperature,Percent tree coverage,Percent impervious coverage,Mean distance to water,TRACT GEO ID,Contains heat mapping,Total Pop,ALAND20,AWATER20,Percent heat mapping coverage,HRA name 2010,HRA ID 2010,HRA ID 2020,HRA name 2020,CITYNAME,include,2010 Census Tract Geo ID,Cardiovascular disease mortality rate,Quintile rank of cardiovascular disease mortality rate,Life expectancy,Quintile rank of life expectancy,Percent adults with diabetes,Quintile rank of adults with diabetes,Climate Change Disadvantaged,Clean Energy and Energy Efficiency Disadvantaged,Health Burdens Disadvantaged,Affordable and Sustainable Housing Disadvantaged,Reduction and Remediation of Legacy Pollution Disadvantaged,Clean Transit Disadvantaged,Training and Workforce Development Disadvantaged,Critical Clean Water and Waste Infrastructure Disadvantaged,Identified as disadvantaged,Percent of Population 65 Years and Over who Lives Alone,Percent of adults 18 years and over who have limited English ability,Percent of population with a disability,SVI Overall percentile ranking,SVI Sum of series for Socioeconomic Status theme,SVI Sum of series for Household Characteristics theme,SVI Sum of series for Racial and Ethnic Minority Status theme,SVI Sum of series for Housing Type / Transportation theme,SVI Sum of series themes,Percent of population whose income in the past 12 months is under 2.00x (200% of) the federal poverty level,Quintile rank of SVI overall theme,Quintile rank of SVI Socioeconomic Status theme,Quintile rank of SVI Household Characteristics theme,Quintile rank of SVI Racial and Ethnic Minority Status theme,Quintile rank of SVI Housing Type / Transportation theme,Quintile rank of senior social isolation,Quintile rank of limited English population,Quintile rank of population under 200% of the federal poverty level,Quintile rank of population with a disability,Quintile rank of tree coverage,Quintile rank of impervious coverage,Quintile rank of distance to water,Quintile rank of morning temperature,Quintile rank of afternoon temperature,Quintile rank of evening temperature,Percent LCI opportunity area coverage,Contains LCI opportunity area,Quintile rank of cardiovascular disease mortality rate,Shape__Area,Shape__Length,FEMA Community Disaster Resilience Zone,King County Council district,School District,Percent under 18 years old,Percent severe housing cost burdened,Percent single family homes,Percent multi-family homes,Quintile rank of population under 18,Quintile rank of households with severe housing cost burden,Quintile rank of multi-family homes
1,530330108001016,65.7640075683594,90.3245010375977,85.6186370849609,0.0978002378121284,0.897095326565517,13996.416332348,53033010800,1,0,3516,0,100.000000000665,Delridge,2400,27,Seattle - Delridge,Seattle,1,53033010800,223.23,4,78.2,5,0.13,5,0,0,0,0,0,0,0,0,0,11.9,8.3,8.3,0.4502,2.0071,2.4778,0.8344,2.071,7.3903,22.9,3,3,4,4,2,1,3,4,3,5,5,4,5,4,3,0,0,4,37846.5911102295,1222.55027827257,0,8,Seattle,21.1,17.9691653375864,80.1,18.1771103055412,3,4,2
2,530330293061005,61.054162979126,90.3378982543945,86.374626159668,0.215705116920611,0.129203247565849,28355.9279127248,53033029306,2,123,284137,119579,74.362145049492,Kent-East,14000,14,Kent - East,Kent,1,53033029306,181.31,3,78,5,0.105,4,0,0,0,0,0,0,0,0,0,17.7,25.2,12.9,0.5509,2.3611,2.4463,0.8491,2.3795,8.036,21.6,4,4,3,4,3,2,5,4,4,3,1,5,2,4,4,0,0,3,4345680.24085999,9907.30635757035,0,5,Kent,21.4,7.11398544866613,66.6,18.2621502209131,3,1,2
3,530330291021004,59.1113872528076,89.9642562866211,86.4602737426758,0.259474317127641,0.35024081895242,11327.4823576275,53033029102,1,33,30415,0,100.000000000203,Kent-West,14200,13,Kent - West,Kent,1,53033029102,223.55,4,76.5,5,0.094,4,0,0,0,0,0,0,0,0,0,21.2,20.9,15,0.8298,3.1985,2.7674,0.9033,3.3005,10.1697,32.2,5,5,4,5,4,3,5,5,5,3,2,4,2,4,4,47.6766669919676,1,4,327409.010574341,2546.68310150507,0,5,Federal Way,23.9,21.5817694369973,72,27.459807073955,4,5,3
4,530330292071006,60.7814826965332,89.2526321411133,83.3840026855469,0.528837459969624,0.191157602818102,27670.6881371156,53033029207,1,105,93838,0,99.9999999999151,Kent-SE,14100,14,Kent - East,Kent,1,53033029204,230.8,4,77.7,5,0.105,4,0,0,0,0,0,0,0,0,0,5.5,20,5.7,0.5074,2.7489,2.3749,0.8722,1.6961,7.6921,19.1,3,4,3,4,2,1,5,4,1,1,1,5,2,3,1,0,0,4,1010098.45895386,5467.83973230011,0,5,Kent,29,6.99052132701422,91.1,7.27069351230425,5,1,1
5,530330262001003,62.184928894043,88.9449768066406,84.5886726379395,0.481271944189126,0.0856890059764029,10848.0012834822,53033026200,1,0,118714,0,100.000000000353,Renton-South,20200,19,Renton - South,Renton,1,53033026200,172.48,3,79.2,4,0.075,3,0,0,0,0,0,0,0,0,0,22.3,18.8,8.2,0.6923,3.8257,1.9435,0.9435,2.3147,9.0274,27.3,4,5,2,5,3,3,5,5,2,1,1,4,4,2,2,0,0,3,1277830.20420837,6297.01829514662,1,5,Renton,14.6,13.4671532846715,17.2,82.7854964418841,2,3,5
6,530330271001003,62.3821144104004,90.741943359375,85.4248809814453,0.504280349717761,0.310999276622654,12925.6599916358,53033027100,1,348,43584,0,100.000000000212,Burien,7000,20,Burien,Burien,1,53033027100,220.52,4,77.8,5,0.083,4,0,0,0,0,0,0,1,0,1,37.7,26.6,16.2,0.987,4.2897,3.7296,0.9214,3.6534,12.5941,35.8,5,5,5,5,5,4,5,5,5,1,2,4,4,5,3,0.224904457651036,1,4,469132.923934937,3420.87872813167,0,8,Tukwila,20.8,29.0365448504983,50.1,49.8696219035202,3,5,4
8,530330288022017,62.4894866943359,88.5136260986328,84.9934844970703,0.0779480926667828,0.532729949461243,12609.1085292271,53033028802,2,40,12001,0,96.6849913125104,SeaTac/Tukwila,22000,18,Seatac,SeaTac,1,53033028802,217.35,4,78.4,4,0.103,4,1,0,0,0,1,1,1,1,1,11.8,33.5,9.5,0.983,4.2128,3.2363,0.957,4.0206,12.4267,41,5,5,5,5,5,1,5,5,3,5,3,4,4,2,2,0,0,4,129183.651275635,1500.90666794108,0,5,Highline,27.4,19.1742755061532,32.1,64.2750373692078,5,5,4
9,530330294031005,62.0391178131104,90.3307571411133,86.950366973877,0.27198448768059,0.415009477984402,31810.7557652305,53033029403,1,184,130114,0,99.9999999999482,Kent-East,14000,14,Kent - East,Kent,1,53033029403,227.4,4,78,5,0.105,4,0,0,0,0,0,0,0,0,0,34.4,18,8.9,0.7975,2.8763,2.7367,0.9373,3.2636,9.8139,22.8,5,4,4,5,4,4,4,4,3,3,2,5,3,4,5,0,0,4,1400575.24186707,6178.23798226996,0,5,Kent,22,13.9145750770586,69.7,24.1394335511983,4,3,3
12,530330256023015,60.9343700408936,86.6960258483887,83.750358581543,0.203902267533837,0.418383158321331,14495.8073237377,53033025602,1,91,41626,0,99.9999999999285,Renton-East,20000,23,Renton - North,Renton,1,53033025602,166.22,3,80.8,3,0.111,5,0,0,0,0,0,0,0,0,0,11.5,21.3,5.4,0.254,1.5205,2.4048,0.8609,1.2812,6.0674,3.59999999999999,2,2,3,4,1,1,5,1,1,3,2,4,2,1,1,0,0,3,448058.188415527,2898.7508138474,0,9,Renton,25.2,2.28699551569507,94.1,5.9449866903283,5,1,1
13,530330304041015,61.3897609710693,89.9469795227051,86.2214775085449,0.0379234706312454,0.573508458953943,15655.0524749756,53033030404,1,86,12865,0,99.9999999992045,East Federal Way,10000,4,"Lakeland, Algona, Pacific, and Milton",King County,1,53033030404,246.69,5,78,5,0.059,2,0,0,0,0,0,0,0,0,0,13.1,14.4,7,0.3365,1.4164,2.5467,0.6252,2.0871,6.6754,19.8,3,2,4,2,2,1,4,4,2,5,4,4,3,4,4,0,0,5,138487.931190491,1513.23601751608,0,7,Fife,22.5,10.338225909381,86.6,0,4,2,1
