GEO_ID,STATE,COUNTY,TRACT,NAME,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM,LONG_90_DAY,MAX_WBT,EXPOSED
1400000US53033000101,53,33,101,"Census Tract 1.01, King County, Washington",3807,635,449,16.68,11.8,1970,534,51.75,14.01,1202,480,31.57,12.6,1,79.5,0
1400000US53033000102,53,33,102,"Census Tract 1.02, King County, Washington",4328,780,571,18.02,13.2,1326,666,30.64,15.4,2222,605,51.34,13.97,1,79.5,0
1400000US53033000201,53,33,201,"Census Tract 2.01, King County, Washington",4427,444,527,10.03,11.91,2355,614,53.2,13.88,1628,552,36.77,12.47,1,79.5,0
1400000US53033000202,53,33,202,"Census Tract 2.02, King County, Washington",4074,941,448,23.1,11,1814,512,44.53,12.56,1319,450,32.38,11.03,1,79.5,0
1400000US53033000300,53,33,300,"Census Tract 3, King County, Washington",2798,960,319,34.31,11.4,1169,361,41.78,12.91,669,312,23.91,11.15,1,79.5,0
1400000US53033000402,53,33,402,"Census Tract 4.02, King County, Washington",5133,883,563,17.2,10.97,1961,658,38.2,12.83,2289,606,44.59,11.81,1,79.5,0
1400000US53033000403,53,33,403,"Census Tract 4.03, King County, Washington",3090,587,348,19,11.26,1010,421,32.69,13.62,1493,401,48.32,12.96,1,79.5,0
1400000US53033000404,53,33,404,"Census Tract 4.04, King County, Washington",4119,565,540,13.72,13.11,1555,653,37.75,15.85,1999,603,48.53,14.64,1,79.5,0
1400000US53033000500,53,33,500,"Census Tract 5, King County, Washington",3334,1258,367,37.73,10.99,1244,422,37.31,12.65,832,385,24.96,11.54,1,79.5,0
1400000US53033000601,53,33,601,"Census Tract 6.01, King County, Washington",4089,892,472,21.81,11.54,1880,544,45.98,13.3,1317,484,32.21,11.82,1,79.5,0
1400000US53033000602,53,33,602,"Census Tract 6.02, King County, Washington",4012,618,470,15.4,11.72,1953,547,48.68,13.63,1441,489,35.92,12.2,1,79.5,0
1400000US53033000700,53,33,700,"Census Tract 7, King County, Washington",5212,1320,650,25.33,12.48,2421,745,46.45,14.29,1471,650,28.22,12.47,1,79.5,0
1400000US53033000800,53,33,800,"Census Tract 8, King County, Washington",2656,1009,308,37.99,11.59,1061,351,39.95,13.23,586,314,22.06,11.83,1,79.5,0
1400000US53033000900,53,33,900,"Census Tract 9, King County, Washington",2059,374,222,18.16,10.77,1055,259,51.24,12.6,630,241,30.6,11.68,1,79.5,0
1400000US53033001000,53,33,1000,"Census Tract 10, King County, Washington",1994,412,232,20.66,11.64,913,265,45.79,13.3,669,233,33.55,11.68,1,79.5,0
1400000US53033001100,53,33,1100,"Census Tract 11, King County, Washington",2688,560,336,20.83,12.5,1240,384,46.13,14.28,888,340,33.04,12.63,1,79.5,0
1400000US53033001201,53,33,1201,"Census Tract 12.01, King County, Washington",3820,624,454,16.34,11.87,1446,548,37.85,14.35,1750,507,45.81,13.27,1,79.5,0
1400000US53033001202,53,33,1202,"Census Tract 12.02, King County, Washington",3892,1051,484,27,12.43,1806,546,46.4,14.02,1035,463,26.59,11.9,1,79.5,0
1400000US53033001300,53,33,1300,"Census Tract 13, King County, Washington",5092,1301,576,25.55,11.32,2476,658,48.63,12.91,1315,569,25.82,11.17,1,79.5,0
1400000US53033001400,53,33,1400,"Census Tract 14, King County, Washington",5203,1406,597,27.02,11.47,2558,669,49.16,12.86,1239,576,23.81,11.07,1,79.5,0
1400000US53033001500,53,33,1500,"Census Tract 15, King County, Washington",2607,602,322,23.09,12.36,1282,363,49.18,13.93,723,321,27.73,12.31,1,79.5,0
1400000US53033001600,53,33,1600,"Census Tract 16, King County, Washington",4413,1022,464,23.16,10.52,2262,526,51.26,11.92,1129,467,25.58,10.57,1,79.5,0
1400000US53033001701,53,33,1701,"Census Tract 17.01, King County, Washington",4194,587,536,14,12.77,2848,597,67.91,14.22,759,501,18.1,11.94,1,79.5,0
1400000US53033001702,53,33,1702,"Census Tract 17.02, King County, Washington",5260,1239,627,23.56,11.92,2175,705,41.35,13.4,1846,614,35.1,11.67,1,79.5,0
1400000US53033001800,53,33,1800,"Census Tract 18, King County, Washington",5061,902,649,17.82,12.82,2990,716,59.08,14.15,1169,582,23.1,11.51,1,79.5,0
1400000US53033001900,53,33,1900,"Census Tract 19, King County, Washington",4916,599,584,12.18,11.87,2598,657,52.85,13.36,1719,566,34.97,11.5,1,79.5,0
1400000US53033002000,53,33,2000,"Census Tract 20, King County, Washington",3659,859,407,23.48,11.11,1448,456,39.57,12.47,1352,397,36.95,10.86,1,79.5,0
1400000US53033002100,53,33,2100,"Census Tract 21, King County, Washington",4372,1289,472,29.48,10.79,1573,530,35.98,12.11,1510,454,34.54,10.38,1,79.5,0
1400000US53033002200,53,33,2200,"Census Tract 22, King County, Washington",5867,1387,666,23.64,11.36,2898,764,49.39,13.03,1582,689,26.96,11.74,1,79.5,0
1400000US53033002400,53,33,2400,"Census Tract 24, King County, Washington",3157,847,376,26.83,11.9,1141,422,36.14,13.35,1169,364,37.03,11.53,1,79.5,0
1400000US53033002500,53,33,2500,"Census Tract 25, King County, Washington",3100,449,364,14.48,11.73,1771,409,57.13,13.19,880,356,28.39,11.48,1,79.5,0
1400000US53033002600,53,33,2600,"Census Tract 26, King County, Washington",5246,698,614,13.31,11.7,2622,680,49.98,12.96,1926,571,36.71,10.89,1,79.5,0
1400000US53033002700,53,33,2700,"Census Tract 27, King County, Washington",5754,1244,743,21.62,12.91,2950,826,51.27,14.36,1560,703,27.11,12.22,1,79.5,0
